district,state,flood_event_count,avg_flood_duration,max_flood_duration,median_flood_duration,std_flood_duration,total_area_affected,avg_area_affected,total_human_fatalities,total_human_injuries,total_human_displaced,total_animal_fatalities,severe_event_count,percent_flooded_area,permanent_water,corrected_percent_flooded_area,population,impact_mean_flood_duration,impact_human_fatalities,impact_human_injuries,dfsi,risk_class
Patna,BIHAR,58,10.206896551724139,85.0,3.0,15.163157821242837,0.0,,3367.0,51.0,0.0,1690.0,0.0,20.26981192,1.449192516,18.8206194,6868950.0,16.0,381.0,30.0,19.30056410404208,Very High
Murshidabad,WEST BENGAL,34,11.441176470588236,61.0,5.0,15.779140769460799,0.0,,2416.0,25.0,0.0,2275.0,0.0,11.63868869,1.234154397,10.40453429,8350690.0,23.0,435.0,9.0,18.910883771379428,Very High
Thane,MAHARASHTRA,94,2.4468085106382977,11.0,1.0,2.3261811488211945,0.0,,2101.0,473.0,0.0,29681.0,0.0,3.51519111,2.261563329,1.253627781,9950177.0,3.0,418.0,204.0,18.86178924193549,Very High
Guntur,ANDHRA PRADESH,32,8.3125,38.0,4.5,10.189930196981472,0.0,,1588.0,429.0,0.0,102189.0,0.0,10.2423074,0.999528068,9.242779332,5374652.0,8.0,188.0,108.0,18.83206907033492,Very High
North Twenty Four Pargan*,WEST BENGAL,0,,,,,,,,,,,,18.6648469,7.43925593,11.22559097,10544399.0,19.0,294.0,16.0,18.77053767455695,Very High
Nagpur,MAHARASHTRA,152,3.1184210526315788,31.0,2.0,3.8788511484892827,0.0,,1863.0,206.0,0.0,11359.0,0.0,1.535057736,1.136796464,0.398261272,5242373.0,3.0,689.0,78.0,18.687113593311008,Very High
Purba Medinipur,WEST BENGAL,37,2.135135135135135,9.0,1.0,2.187872662379323,0.0,,220.0,136.0,0.0,0.0,0.0,17.52355839,2.04670632,15.47685207,5760374.0,10.0,302.0,17.0,18.37042594956264,Very High
Lakhimpur,ASSAM,209,8.425837320574162,93.0,4.0,12.14873776255822,0.0,,2669.0,235.0,0.0,10937655.0,0.0,15.4979388,1.049242136,14.44869666,1161342.0,9.0,214.0,39.0,18.33746571265321,Very High
Gorakhpur,UTTAR PRADESH,46,11.282608695652174,89.0,7.0,17.148583412150355,0.0,,3246.0,52.0,0.0,5412.0,0.0,10.44474452,0.35299449,10.09175003,5059142.0,18.0,312.0,11.0,18.30257560143651,Very High
Purba Champaran,BIHAR,0,,,,,,,,,,,,9.508604013,0.12116348,9.387440533,6322257.0,19.0,184.0,20.0,18.29578760114369,Very High
Kota,RAJASTHAN,46,12.195652173913043,365.0,3.0,53.44347774995244,0.0,,1603.0,1065.0,1.0,284061.0,0.0,2.883610805,0.503964127,2.379646678,2286428.0,12.0,206.0,266.0,18.28899123555501,Very High
Muzaffarpur,BIHAR,46,13.326086956521738,85.0,8.5,16.001464304974764,0.0,,3291.0,117.0,0.0,790.0,0.0,11.95012947,0.19126057,11.7588689,6144680.0,19.0,201.0,18.0,18.28701590256185,Very High
Ballia,UTTAR PRADESH,44,10.090909090909092,89.0,7.0,16.236361979123426,0.0,,4098.0,47.0,0.0,5412.0,0.0,14.2259764,0.925904877,13.30007152,3696633.0,18.0,312.0,13.0,18.282412575936064,Very High
Maldah,WEST BENGAL,7,15.0,61.0,7.0,21.10292238845922,0.0,,413.0,0.0,0.0,104.0,0.0,11.77624381,2.419208171,9.357035639,4260890.0,11.0,221.0,53.0,18.258130027039368,Very High
Aurangabad,BIHAR,21,17.714285714285715,85.0,14.0,19.814496857459837,0.0,,2788.0,0.0,0.0,790.0,0.0,,,,,,,,18.177174992181182,Very High
Rajkot,GUJARAT,40,17.7,122.0,7.0,26.794756471350404,0.0,,3764.0,74.0,2.0,134743.0,0.0,0.801285355,0.493588848,0.307696507,3534875.0,18.0,1726.0,8.0,18.23927454775029,Very High
Cachar,ASSAM,147,7.571428571428571,93.0,1.0,13.27269315405294,0.0,,2045.0,208.0,13.0,7093475.0,0.0,9.573358688,0.339758463,9.233600225,2105643.0,8.0,194.0,33.0,18.140456924041366,Very High
Ahmadabad,GUJARAT,0,,,,,,,,,,,,4.222292965,0.122458085,4.09983488,8738876.0,12.0,177.0,23.0,18.117122356772818,Very High
Bahraich,UTTAR PRADESH,52,7.865384615384615,89.0,1.5,15.408208718978393,0.0,,2988.0,100.0,0.0,5516.0,0.0,4.089125081,0.40923834,3.679886741,4156731.0,15.0,225.0,32.0,18.077352963427945,Very High
Dibrugarh,ASSAM,150,10.0,93.0,5.0,13.710330206177241,0.0,,2353.0,240.0,4.0,9849601.0,0.0,14.95295738,3.039084044,11.91387334,1510242.0,10.0,147.0,47.0,18.06823270299057,Very High
Prayagraj,UTTAR PRADESH,40,10.0,89.0,3.0,17.76628902278204,0.0,,3467.0,47.0,0.0,4464.0,0.0,8.8123858,0.784955122,8.027430678,7094453.0,18.0,277.0,5.0,18.06694088316479,Very High
Chamoli,UTTARAKHAND,24,1.7083333333333333,7.0,1.0,1.545798419465872,0.0,,5293.0,96.0,215.0,1161.0,0.0,1.044647093,0.05612071,0.988526383,426828.0,4.0,1546.0,75.0,18.05798993917151,Very High
Darjiling,WEST BENGAL,0,,,,,,,,,,,,2.014600116,0.096238867,1.918361249,1849559.0,11.0,548.0,63.0,18.01898148587533,Very High
Jalpaiguri,WEST BENGAL,43,8.86046511627907,61.0,3.0,13.639196658630661,0.0,,1490.0,27.0,0.0,50511.0,0.0,4.914165317,0.3463879,4.567777417,2766173.0,17.0,366.0,20.0,18.00303602720487,Very High
Azamgarh,UTTAR PRADESH,34,12.058823529411764,89.0,7.0,18.61075149748789,0.0,,3171.0,52.0,0.0,4847.0,0.0,6.067454778,0.055490347,6.011964431,5177742.0,20.0,257.0,11.0,17.951289130056143,Very High
Pashchim Champaran,BIHAR,47,14.319148936170214,85.0,7.0,15.759202119201898,0.0,,3344.0,111.0,0.0,790.0,0.0,6.581510908,0.22060865,6.360902258,4925046.0,20.0,194.0,11.0,17.92933849820152,Very High
Amravati,MAHARASHTRA,77,4.311688311688312,31.0,2.0,5.115147114877076,0.0,,1625.0,139.0,1.0,7913.0,0.0,1.132570579,0.452234552,0.680336027,3195039.0,5.0,430.0,34.0,17.907707348841942,Very High
Medinipur West,WEST BENGAL,0,,,,,,,,,,,,7.838525951,0.025978003,7.812547948,5510554.0,10.0,294.0,10.0,17.869045637008952,Very High
Samastipur,BIHAR,43,14.046511627906977,85.0,7.0,16.341523925515478,0.0,,3141.0,100.0,0.0,1316.0,0.0,14.7707354,0.395790839,14.37494456,5463227.0,21.0,152.0,10.0,17.76199430185416,Very High
Darbhanga,BIHAR,51,12.333333333333334,85.0,7.0,15.179811153853876,0.0,,3385.0,30.0,0.0,790.0,0.0,10.08119281,0.024744941,10.05644787,4562640.0,18.0,207.0,9.0,17.744619139380248,Very High
Alappuzha,KERALA,110,5.045454545454546,34.0,3.0,5.333615679209673,0.0,,1338.0,534.0,9.0,847210.0,0.0,21.06652893,8.660110439,12.40641849,2167462.0,5.0,170.0,70.0,17.725461969849633,Very High
Surat,GUJARAT,46,11.23913043478261,122.0,6.5,19.482396364819756,0.0,,2045.0,50.0,2.0,28358.0,0.0,5.928437334,0.593664003,5.334773331,8228098.0,11.0,215.0,9.0,17.686867251651705,Very High
Kachchh,GUJARAT,30,24.1,122.0,21.0,29.457567378554344,0.0,,1732.0,88.0,2.0,33931.0,0.0,12.67467755,9.585998161,3.088679389,2654359.0,24.0,123.0,10.0,17.66899887709203,Very High
Shimla,HIMACHAL PRADESH,111,3.828828828828829,99.0,2.0,10.242401950069999,0.0,,1128.0,256.0,7.0,18402.0,0.0,0.771392749,0.035574686,0.735818063,904737.0,4.0,355.0,172.0,17.6226469397165,Very High
Bhagalpur,BIHAR,40,13.8,85.0,7.0,16.489623777020878,0.0,,3171.0,110.0,0.0,8471.0,0.0,16.20260487,2.47274559,13.72985928,3509828.0,20.0,161.0,12.0,17.604486494190635,Very High
Madhubani,BIHAR,50,13.38,85.0,7.0,16.04316880501238,0.0,,3388.0,104.0,0.0,755.0,0.0,3.784620529,0.037751436,3.746869093,5126077.0,19.0,216.0,10.0,17.604319048943815,Very High
Raigarh,CHHATTISGARH,5,4.4,14.0,2.0,5.412947441089743,0.0,,54.0,10.0,0.0,162.0,0.0,,,,,,,,17.43633588862505,Very High
Bharuch,GUJARAT,49,14.306122448979592,122.0,7.0,24.41840501345984,0.0,,2113.0,119.0,2.0,18676.0,0.0,3.432850261,1.612396534,1.820453727,1704669.0,14.0,233.0,56.0,17.568946762319865,Very High
Nanded,MAHARASHTRA,63,3.4126984126984126,21.0,2.0,3.648397441541842,0.0,,2530.0,132.0,0.0,41128.0,0.0,1.586913636,0.436541633,1.150372003,3861544.0,4.0,262.0,34.0,17.5598713904459,Very High
Hamirpur,UTTAR PRADESH,26,9.653846153846153,89.0,4.0,17.542958262943703,0.0,,2173.0,44.0,0.0,4459.0,0.0,,,,,,,,17.33880877837924,Very High
Nadia,WEST BENGAL,26,11.884615384615385,61.0,5.0,16.54406702858018,0.0,,2204.0,17.0,0.0,997.0,0.0,10.67147424,0.744726558,9.926747682,5440236.0,24.0,230.0,3.0,17.534500094496988,Very High
Dhemaji,ASSAM,197,8.284263959390863,93.0,3.0,11.799792720912537,0.0,,2304.0,216.0,0.0,11017414.0,0.0,10.8217802,1.436232391,9.385547809,702202.0,9.0,162.0,35.0,17.531994905456393,Very High
Pune,MAHARASHTRA,136,2.301470588235294,14.0,1.0,2.3136306339257464,0.0,,2915.0,269.0,12.0,53031.0,0.0,1.079353461,1.091416421,0.01206296,11979873.0,2.0,547.0,119.0,17.524811977180292,Very High
Kamrup,ASSAM,175,8.062857142857142,93.0,1.0,12.87970616397281,0.0,,2360.0,69.0,3.0,10617802.0,0.0,10.03897902,1.476174408,8.562804612,1546068.0,8.0,181.0,13.0,17.51092316732499,Very High
Sitapur,UTTAR PRADESH,53,5.415094339622642,89.0,1.0,13.09203216620433,0.0,,2430.0,52.0,0.0,5120.0,0.0,3.400453125,0.025174919,3.375278206,5391584.0,13.0,177.0,11.0,17.504226814413553,Very High
Deoria,UTTAR PRADESH,38,11.236842105263158,89.0,6.5,17.84230352739199,0.0,,2874.0,40.0,0.0,5428.0,0.0,7.998150162,0.303328624,7.694821538,3288259.0,19.0,211.0,11.0,17.491668267861357,Very High
Kheri,UTTAR PRADESH,43,7.790697674418604,89.0,1.0,15.13677033479493,0.0,,2493.0,26.0,0.0,4741.0,0.0,7.086100462,0.145950617,6.940149845,4820329.0,16.0,146.0,6.0,17.48620569437293,Very High
Hooghly,WEST BENGAL,30,7.466666666666667,38.0,3.5,9.971453507762611,0.0,,1631.0,56.0,0.0,1856.0,0.0,9.728119034,0.332437756,9.395681278,5689338.0,10.0,175.0,18.0,17.48618759234521,Very High
Agra,UTTAR PRADESH,24,9.208333333333334,89.0,1.0,18.4743751242602,0.0,,2131.0,120.0,0.0,4407.0,0.0,4.133356464,0.10192976,4.031426704,5296620.0,20.0,133.0,32.0,17.46347311350804,Very High
Ganjam,ODISHA,29,13.137931034482758,31.0,7.0,12.117649872134667,0.0,,2193.0,6.0,0.0,50749.0,0.0,3.782362954,1.187000815,2.595362139,3912072.0,23.0,391.0,2.0,17.46172971322325,Very High
Cuttack,ODISHA,50,10.28,31.0,6.0,10.821445073066155,0.0,,2265.0,6.0,0.0,84282.0,0.0,13.14840204,1.638891263,11.50951078,2887779.0,16.0,285.0,2.0,17.44880793951162,Very High
Begusarai,BIHAR,36,15.277777777777779,85.0,9.0,17.87833662942167,0.0,,3012.0,100.0,0.0,816.0,0.0,21.87259266,1.072873296,20.79971936,3830215.0,22.0,126.0,10.0,17.41078092869951,Very High
Katihar,BIHAR,49,13.73469387755102,85.0,7.0,15.796591813589728,0.0,,3473.0,10.0,0.0,6771.0,0.0,13.34677951,1.934686307,11.4120932,3735857.0,20.0,221.0,2.0,17.361725993584006,Very High
Thiruvananthapuram,KERALA,229,3.7510917030567685,34.0,2.0,4.550309526330413,0.0,,1607.0,536.0,52.0,860713.0,0.0,0.884604088,0.648894373,0.235709715,3288743.0,4.0,276.0,149.0,17.350365322366642,Very High
Bankura,WEST BENGAL,11,18.363636363636363,61.0,11.0,18.435144302514843,0.0,,1794.0,26.0,0.0,590.0,0.0,1.837666654,0.435897763,1.401768891,3957405.0,35.0,203.0,26.0,17.31955291994364,Very High
Baleshwar,ODISHA,46,8.565217391304348,31.0,5.0,9.914416380902763,0.0,,1835.0,9.0,0.0,53488.0,0.0,12.64357177,3.878298705,8.765273065,2513933.0,16.0,220.0,5.0,17.31748221832247,Very High
Malappuram,KERALA,94,5.074468085106383,34.0,4.0,5.702742901073543,0.0,,1309.0,437.0,40.0,847210.0,0.0,1.938819937,0.260316709,1.678503228,4458146.0,5.0,161.0,50.0,17.302052893954528,Very High
Sawai Madhopur,RAJASTHAN,20,23.45,365.0,5.0,80.50791069336309,0.0,,1015.0,1043.0,0.0,208772.0,0.0,1.752297609,0.2640657,1.488231909,1511281.0,22.0,121.0,254.0,17.29473115217755,Very High
Nagaon,ASSAM,173,8.00578034682081,93.0,1.0,12.551983587255352,0.0,,2123.0,66.0,3.0,10763912.0,0.0,13.62634202,0.20685283,13.41948919,2348489.0,8.0,144.0,5.0,17.238952599430498,Very High
Kurnool,ANDHRA PRADESH,33,7.0,31.0,4.0,8.276472678623424,0.0,,1354.0,435.0,0.0,95804.0,0.0,0.793739864,0.504632198,0.289107666,4618046.0,7.0,161.0,108.0,17.238126513748753,Very High
Basti,UTTAR PRADESH,38,11.105263157894736,89.0,7.0,17.817072701726453,0.0,,2639.0,29.0,0.0,5655.0,0.0,4.958766648,0.322726847,4.636039801,2718480.0,19.0,188.0,14.0,17.214701565903344,Very High
Varanasi,UTTAR PRADESH,40,10.4,89.0,5.0,17.706727679845454,0.0,,3860.0,39.0,0.0,4499.0,0.0,4.599652222,0.883647796,3.716004426,4311285.0,18.0,363.0,5.0,17.20928123007672,Very High
Visakhapatnam,ANDHRA PRADESH,25,9.88,62.0,5.0,14.248742634585925,0.0,,1029.0,442.0,0.0,90775.0,0.0,1.175590784,0.439675977,0.735914807,4885485.0,10.0,106.0,115.0,17.206748814948707,Very High
Thrissur,KERALA,88,5.125,34.0,3.5,5.634076329972289,0.0,,1204.0,408.0,51.0,847510.0,0.0,5.136358427,0.761485485,4.374872942,3305535.0,5.0,124.0,43.0,17.200701537959194,Very High
Bara Banki,UTTAR PRADESH,54,5.648148148148148,89.0,1.0,12.936940537399252,0.0,,2700.0,51.0,0.0,5181.0,0.0,3.016814521,0.151297728,2.865516793,3807867.0,13.0,202.0,10.0,17.20010241203816,Very High
Karimganj,ASSAM,101,10.178217821782178,93.0,1.0,15.254111602845942,0.0,,1851.0,67.0,0.0,3585768.0,0.0,22.54591712,0.019195636,22.52672148,1393118.0,11.0,116.0,14.0,17.19490183397846,Very High
Tinsukia,ASSAM,73,12.205479452054794,93.0,7.0,15.668403187545582,0.0,,1846.0,231.0,0.0,8977177.0,0.0,6.140689939,1.259207522,4.881482417,1408250.0,13.0,105.0,45.0,17.191385633985888,Very High
Kottayam,KERALA,99,4.777777777777778,34.0,3.0,5.494998756857773,0.0,,1318.0,486.0,25.0,847210.0,0.0,3.699266664,2.178531176,1.520735488,2015065.0,5.0,200.0,90.0,17.17757331913893,Very High
Pratapgarh,UTTAR PRADESH,30,10.166666666666666,89.0,1.0,19.431725451513266,0.0,,2455.0,27.0,0.0,5089.0,0.0,,,,,,,,16.89803810454559,Very High
Saran,BIHAR,37,14.81081081081081,85.0,11.0,16.661395562860335,0.0,,2943.0,10.0,0.0,802.0,0.0,13.6847545,1.299936265,12.38481824,4674827.0,22.0,177.0,2.0,17.163889217193876,Very High
Kolhapur,MAHARASHTRA,51,3.2549019607843137,14.0,2.0,2.7917244653074342,0.0,,2444.0,136.0,12.0,41611.0,0.0,1.531674907,0.739128811,0.792546096,3952672.0,4.0,258.0,32.0,17.133566360241808,Very High
Bharatpur,RAJASTHAN,25,3.72,17.0,3.0,3.646002377033417,0.0,,548.0,1003.0,0.0,9699.0,0.0,2.342300583,0.003684995,2.338615588,2952552.0,5.0,98.0,252.0,17.131242714643918,Very High
Supaul,BIHAR,32,14.0,85.0,9.5,17.41152751261591,0.0,,3094.0,104.0,0.0,755.0,0.0,7.982821848,0.634587242,7.348234606,2904278.0,22.0,162.0,10.0,17.111278582391943,Very High
Kannur,KERALA,88,4.818181818181818,34.0,3.0,5.720592876889065,0.0,,1206.0,424.0,49.0,847209.0,0.0,3.447996641,1.090489394,2.357507247,2666656.0,5.0,153.0,53.0,17.10860522742122,Very High
Barpeta,ASSAM,160,8.90625,93.0,2.0,13.100384974419164,0.0,,2332.0,67.0,0.0,10697543.0,0.0,13.96647843,3.478605956,10.48787247,1877307.0,9.0,159.0,5.0,17.072155278812332,Very High
Khagaria,BIHAR,38,16.31578947368421,85.0,11.5,16.744672832838663,0.0,,3211.0,100.0,0.0,3332.0,0.0,12.48011269,0.872843213,11.60726948,2060105.0,23.0,166.0,10.0,17.067464382639127,Very High
Etawah,UTTAR PRADESH,32,8.3125,89.0,2.0,16.131390956565042,0.0,,2387.0,46.0,0.0,4468.0,0.0,8.738456012,0.23711024,8.501345772,1845391.0,18.0,184.0,13.0,17.067086494018813,Very High
Jammu,JAMMU & KASHMIR,1,1.0,1.0,1.0,,0.0,,6.0,3.0,0.0,0.0,0.0,2.064462057,0.475037449,1.589424608,1766664.0,5.0,274.0,80.0,17.046325534618752,Very High
Cooch Behar,WEST BENGAL,33,7.696969696969697,61.0,3.0,12.08171358004745,0.0,,1187.0,5.0,0.0,50511.0,0.0,7.872524259,0.371070198,7.501454061,3286533.0,8.0,337.0,3.0,17.04587802487752,Very High
Saharanpur,UTTAR PRADESH,21,11.428571428571429,89.0,3.0,19.673767886633787,0.0,,2928.0,32.0,3.0,7883.0,0.0,2.705190205,0.020060771,2.685129434,4096003.0,23.0,215.0,9.0,17.04140679871483,Very High
Ratnagiri,MAHARASHTRA,62,2.661290322580645,17.0,1.5,2.76360152513724,0.0,,2154.0,179.0,5.0,31119.0,0.0,1.554240455,0.978975411,0.575265044,1532470.0,3.0,280.0,72.0,17.025442396530302,Very High
East Godavari,ANDHRA PRADESH,37,9.054054054054054,62.0,5.0,12.543138775056677,0.0,,1906.0,7.0,4.0,90716.0,0.0,6.191781457,2.48908494,3.702696517,5569277.0,9.0,222.0,1.0,17.021823993758144,Very High
Saharsa,BIHAR,39,17.256410256410255,85.0,14.0,16.346121298689518,0.0,,3159.0,30.0,0.0,755.0,0.0,8.841447371,0.644150281,8.19729709,2422652.0,23.0,167.0,9.0,17.01851798654835,Very High
Thanjavur,TAMIL NADU,36,9.305555555555555,119.0,4.0,19.633527365845314,0.0,,1256.0,231.0,0.0,4075.0,0.0,6.402076626,0.139785443,6.262291183,2499232.0,9.0,144.0,22.0,16.98285416233113,Very High
Meerut,UTTAR PRADESH,25,11.36,89.0,7.0,18.60752535938081,0.0,,3773.0,55.0,0.0,8215.0,0.0,3.284379909,0.007909836,3.276470073,3877321.0,21.0,213.0,10.0,16.977844683490805,Very High
Howrah,WEST BENGAL,28,6.321428571428571,38.0,2.0,9.498746784507443,0.0,,1554.0,22.0,0.0,590.0,0.0,22.79593904,3.23081923,19.56511981,4370011.0,9.0,170.0,8.0,16.963762846672328,Very High
Pithoragarh,UTTARAKHAND,14,1.7142857142857142,5.0,1.0,1.3259870882635918,0.0,,5190.0,34.0,15.0,1149.0,0.0,0.525534276,0.108953862,0.416580414,510103.0,3.0,1636.0,21.0,16.95882245057062,Very High
Junagadh,GUJARAT,51,16.098039215686274,122.0,7.0,24.365758680542484,0.0,,2587.0,77.0,2.0,134743.0,0.0,1.288798667,0.096341257,1.19245741,1644700.0,16.0,272.0,12.0,16.930629004549242,Very High
Gonda,UTTAR PRADESH,52,8.365384615384615,89.0,1.0,16.09533953513039,0.0,,2653.0,22.0,0.0,5100.0,0.0,2.9367264,0.067902889,2.868823511,4066976.0,15.0,196.0,4.0,16.927312735081465,Very High
Jaipur,RAJASTHAN,40,11.85,365.0,2.0,57.31449451972233,0.0,,522.0,56.0,0.0,890.0,0.0,0.300794996,0.001876113,0.298918883,8193632.0,12.0,190.0,14.0,16.921200252666964,Very High
Sonitpur,ASSAM,156,8.705128205128204,93.0,3.0,13.153789076925003,0.0,,2178.0,75.0,0.0,7207424.0,0.0,7.745899654,2.549489328,5.196410326,1462078.0,9.0,144.0,8.0,16.918268535297507,Very High
Sivasagar,ASSAM,123,11.56910569105691,93.0,7.0,14.70869114147466,0.0,,2047.0,69.0,0.0,10108175.0,0.0,17.15000888,0.611686093,16.53832279,800874.0,12.0,117.0,15.0,16.918155167420082,Very High
Uttarkashi,UTTARAKHAND,0,,,,,,,,,,,,0.450692495,0.082932117,0.367760378,410687.0,5.0,1373.0,25.0,16.914467976234626,Very High
Parbhani,MAHARASHTRA,49,4.163265306122449,21.0,3.0,3.9546751803799167,0.0,,2489.0,118.0,0.0,41361.0,0.0,3.612234955,0.631474073,2.980760882,2068053.0,4.0,230.0,15.0,16.906483978740717,Very High
Ernakulam,KERALA,81,4.777777777777778,34.0,3.0,5.956089321022645,0.0,,1097.0,451.0,49.0,847209.0,0.0,5.103357738,3.843019755,1.260337983,3428525.0,5.0,136.0,61.0,16.88354555320735,Very High
Kullu,HIMACHAL PRADESH,95,3.863157894736842,99.0,2.0,11.012189113457357,0.0,,965.0,283.0,9.0,18100.0,0.0,0.26843604,0.052025107,0.216410933,460044.0,4.0,371.0,205.0,16.874404330835112,Very High
Lucknow,UTTAR PRADESH,36,8.527777777777779,89.0,2.0,16.546879051628025,0.0,,2367.0,30.0,0.0,4492.0,0.0,1.996226278,0.00696436,1.989261918,5804005.0,17.0,175.0,10.0,16.858658560379418,Very High
Faizabad,UTTAR PRADESH,0,,,,,,,,,,,,4.054677701,0.247188018,3.807489683,3092832.0,18.0,207.0,5.0,16.85165548633664,Very High
Kozhikode,KERALA,110,4.263636363636364,34.0,3.0,5.127148952421505,0.0,,1340.0,406.0,49.0,854210.0,0.0,1.40055533,0.599372106,0.801183224,3349063.0,5.0,181.0,45.0,16.80782668073376,Very High
Goalpara,ASSAM,135,9.97037037037037,93.0,5.0,13.635413036199976,0.0,,2228.0,63.0,0.0,10177575.0,0.0,15.877175,3.270135105,12.6070399,1063871.0,10.0,158.0,5.0,16.805708109763213,Very High
Jorhat,ASSAM,131,12.67175572519084,93.0,7.0,13.965585585283229,0.0,,2601.0,65.0,0.0,10798935.0,0.0,7.736947443,1.082349707,6.654597736,1037431.0,13.0,205.0,4.0,16.78312101435033,Very High
Rudraprayag,UTTARAKHAND,0,,,,,,,,,,,,1.443384607,0.040330005,1.403054602,248925.0,2.0,1324.0,79.0,16.76850435872075,Very High
Gopalganj,BIHAR,33,16.727272727272727,85.0,14.0,17.796194690285486,0.0,,2907.0,100.0,0.0,755.0,0.0,5.900053501,0.432458286,5.467595215,2913408.0,24.0,129.0,10.0,16.76771702942539,Very High
Raichur,KARNATAKA,56,7.928571428571429,31.0,3.0,10.043282952677002,0.0,,1499.0,172.0,0.0,9310.0,0.0,1.42584206,0.565825072,0.860016988,2140588.0,8.0,141.0,34.0,16.75793281018545,Very High
Patiala,PUNJAB,49,4.755102040816326,38.0,2.0,7.110821015199585,0.0,,589.0,88.0,0.0,6601.0,0.0,4.903037722,0.000974475,4.902063247,2269761.0,5.0,80.0,74.0,16.73168616422408,Very High
Palakkad,KERALA,67,5.3283582089552235,34.0,3.0,6.337450160467447,0.0,,1091.0,375.0,40.0,854210.0,0.0,2.435607291,0.550109826,1.885497465,3024581.0,6.0,104.0,38.0,16.724680975555888,Very High
Vaishali,BIHAR,31,14.741935483870968,85.0,7.0,17.766950107686803,0.0,,2866.0,10.0,0.0,828.0,0.0,17.98113124,1.112916504,16.86821474,4598311.0,23.0,111.0,2.0,16.699429152017437,Very High
Ballari,KARNATAKA,56,8.267857142857142,31.0,3.5,10.340548730698389,0.0,,1517.0,152.0,0.0,11866.0,0.0,1.132672375,0.584051989,0.548620386,2961339.0,8.0,147.0,30.0,16.687776013211217,Very High
Jodhpur,RAJASTHAN,38,12.868421052631579,365.0,2.0,58.746441434552686,0.0,,1416.0,60.0,0.0,275616.0,0.0,0.356570143,0.004713804,0.351856339,4624883.0,13.0,154.0,9.0,16.68515856127328,Very High
Uttara Kannada,KARNATAKA,0,,,,,,,,,,,,4.074727101,1.655079328,2.419647773,1597345.0,7.0,102.0,19.0,16.67968267591538,Very High
Jaunpur,UTTAR PRADESH,30,9.5,89.0,1.0,19.39027484644531,0.0,,2460.0,23.0,0.0,4517.0,0.0,4.255610411,0.012266083,4.243344328,4985265.0,19.0,200.0,1.0,16.67693934713436,Very High
Dakshina Kannada,KARNATAKA,71,7.422535211267606,31.0,4.0,9.346751875584506,0.0,,896.0,148.0,50.0,9316.0,0.0,1.44861205,0.422123179,1.026488871,2388502.0,8.0,117.0,41.0,16.67252490434371,Very High
Balaghat,MADHYA PRADESH,18,5.055555555555555,14.0,3.0,4.770894875020486,0.0,,223.0,108.0,0.0,2000.0,0.0,1.159502036,0.086946009,1.072556027,1884118.0,6.0,118.0,108.0,16.630218636838876,Very High
Chennai,TAMIL NADU,57,8.491228070175438,186.0,3.0,24.525586353131544,0.0,,1311.0,203.0,0.0,4536.0,0.0,4.645634657,1.072848464,3.572786193,5558758.0,8.0,238.0,21.0,16.62215635244921,Very High
Birbhum,WEST BENGAL,17,15.882352941176471,61.0,5.0,20.211019126151136,0.0,,1807.0,3.0,0.0,785.0,0.0,4.557102699,0.073826304,4.483276395,4082552.0,31.0,186.0,1.0,16.588413943958574,Very High
Sitamarhi,BIHAR,43,13.55813953488372,85.0,7.0,16.28511199368101,0.0,,3235.0,7.0,0.0,755.0,0.0,4.621194206,0.001510558,4.619683648,4182895.0,20.0,196.0,1.0,16.54083412285714,Very High
Chandrapur,MAHARASHTRA,61,4.295081967213115,31.0,2.0,5.339613788452875,0.0,,1064.0,134.0,0.0,5980.0,0.0,1.760192182,0.535308039,1.224884143,2348545.0,5.0,114.0,20.0,16.530213646482306,Very High
Tiruchirappalli,TAMIL NADU,29,5.517241379310345,23.0,3.0,5.895644213286209,0.0,,982.0,235.0,0.0,4122.0,0.0,2.799798931,0.030082563,2.769716368,3072981.0,6.0,85.0,53.0,16.507546354019137,Very High
Golaghat,ASSAM,127,8.456692913385826,93.0,1.0,13.45053011613109,0.0,,1826.0,67.0,0.0,10374750.0,0.0,13.18454925,1.593594635,11.59095462,1310870.0,9.0,83.0,5.0,16.50027274094674,Very High
Aligarh,UTTAR PRADESH,16,11.25,89.0,2.5,21.910423698930757,0.0,,1666.0,45.0,0.0,4059.0,0.0,1.93292949,0.006094499,1.926834991,4376425.0,24.0,97.0,22.0,16.49352826124584,Very High
Darrang,ASSAM,151,8.973509933774835,93.0,3.0,12.704302168880988,0.0,,2275.0,61.0,2.0,10368765.0,0.0,15.62408864,3.822695958,11.80139268,1126535.0,9.0,150.0,3.0,16.49301020590384,Very High
Sindhudurg,MAHARASHTRA,51,3.235294117647059,17.0,2.0,3.0697767690444047,0.0,,1241.0,236.0,8.0,17705.0,0.0,1.40862314,0.632545644,0.776077496,808570.0,4.0,190.0,103.0,16.48929416640429,Very High
Bareilly,UTTAR PRADESH,28,8.464285714285714,89.0,2.0,17.069535659151587,0.0,,2086.0,31.0,0.0,4857.0,0.0,4.170101962,0.0,4.170101962,5352228.0,19.0,85.0,7.0,16.485703008265663,Very High
Jalaun,UTTAR PRADESH,20,10.25,89.0,4.0,19.633148660257973,0.0,,2713.0,67.0,0.0,3958.0,0.0,5.196857221,0.392709551,4.80414767,1897451.0,22.0,145.0,6.0,16.4785904772343,Very High
